_id,almacenamiento_numero,dbscan_cluster,dbscan_es_ruido,fecha_clustering_dbscan,marca_especif,precio_numerico,prediction,ram_numero
6a217e5b8267300cb074e874,1024.0,0,False,2026-06-04 20:59:36.571,8.0,2280113.0,1,32.0
6a217e5b8267300cb074e87b,1024.0,0,False,2026-06-04 20:59:36.597,8.0,2448762.0,1,32.0
6a217e5b8267300cb074e87c,1024.0,0,False,2026-06-04 20:59:36.597,8.0,2720943.0,1,32.0
6a217e5b8267300cb074e87f,512.0,1,False,2026-06-04 20:59:36.597,0.0,349990.0,0,8.0
6a217e5b8267300cb074e882,512.0,1,False,2026-06-04 20:59:36.597,0.0,532990.0,0,8.0
6a217e5b8267300cb074e886,256.0,1,False,2026-06-04 20:59:36.597,0.0,279990.0,0,8.0
6a217e5b8267300cb074e88f,256.0,1,False,2026-06-04 20:59:36.597,0.0,1129990.0,0,8.0
6a217e5b8267300cb074e890,512.0,1,False,2026-06-04 20:59:36.598,0.0,684990.0,0,16.0
6a217e5b8267300cb074e895,512.0,1,False,2026-06-04 20:59:36.598,0.0,920990.0,0,16.0
6a217e5b8267300cb074e899,512.0,1,False,2026-06-04 20:59:36.598,0.0,699990.0,0,16.0
6a217e5b8267300cb074e89b,512.0,1,False,2026-06-04 20:59:36.598,0.0,1124990.0,4,16.0
6a217e5b8267300cb074e8a1,1024.0,1,False,2026-06-04 20:59:36.598,0.0,1508990.0,4,16.0
6a217e5b8267300cb074e8a2,512.0,1,False,2026-06-04 20:59:36.598,0.0,889990.0,0,16.0
6a217e5b8267300cb074e8a5,512.0,1,False,2026-06-04 20:59:36.598,0.0,812820.0,0,16.0
6a217e5b8267300cb074e8a6,1024.0,0,False,2026-06-04 20:59:36.598,0.0,2559990.0,1,32.0
6a217e5b8267300cb074e8ad,512.0,1,False,2026-06-04 20:59:36.598,0.0,649990.0,0,8.0
6a217e5b8267300cb074e8b2,512.0,1,False,2026-06-04 20:59:36.598,0.0,539990.0,0,8.0
6a217e5b8267300cb074e8b5,1024.0,1,False,2026-06-04 20:59:36.598,0.0,2299990.0,1,16.0
